Код,Медичний напрям,Захворювання,Область,Больница,Заявник,Спонсор,Фази,Стан,Стать,Вік пацієнтів
"1160,46",Судинна хірургія,Гостра симптоматична венозна тромбоемболія кінцівок (включаючи нижню порожнисту вену); тромбоемболія легеневої артерії.,Вінницька | Запорізька,"""ОКЛ ім. М.І. Пирогова"", м. Вінниця | КЗ ""ОКЛ"" ЗОР, м. Запоріжжя","ТОВ ""Моні-Док""","Boehringer Ingelheim RCV GmbH & Co KG, Austria/ Берінгер Інгельхайм РЦВГмбХ енд Ко КГ, Австрія",3,Завершено КВ в Україні,будь-яка,Дорослі (18-65 років)
SB-712753/002,Ендокринологія,Діабет другого типу,Дніпропетровська | Київська | Київська | Київська | Київська | Харківська,"""Державна медична академія"", м. Дніпро | ДЗ ""Інститут ендокринології та обміну речовин імені В.П. Комісаренка АМН України"", м. Київ | ДЗ ""Інститут педіатрії акушерства і гінекології АМН України"", м. Київ | Олександрівська клінічна лікарня, м. Київ | УНПЦ екстреної медичної допомоги та медицини катастроф, м. Київ | ДЗ ""Інститут проблем ендокринної патології ім. В. Я. Данілевського НАМН України, м. Харків","ТОВ ""Верум Клінікал Рісерч""",,3,Завершено КВ в Україні,-,-
BI 248.634,Неврологія,запущені форми хвороби Паркінсона (ХП),Дніпропетровська | Дніпропетровська | Дніпропетровська | Запорізька | Запорізька | Київська,"ДЗ ""Український ДНДІМСЦПІ МОЗ України"", м. Дніпро | КЗ ""МКЛ №7"", м. Дніпро | КЗ ""МКЛ №9"", м. Дніпро | ННМЦ ""Університетська клініка"" ЗДМУ, м. Запоріжжя | КЗ ""ОКЛ"" ЗОР, м. Запоріжжя | ДЗ ""Інститут геронтології ім. Д.Ф. Чеботарьова НАМН України"", м. Київ","ТОВ ""Ворлдвайд Клінікал Траілс Укр""","Boehringer Ingelheim RCV GmbH & Co KG, Austria/ Берінгер Інгельхайм РЦВГмбХ енд Ко КГ, Австрія",3,Завершено КВ в Україні,будь-яка,Літнього віку (старші 65 років)
ЗНЯТО АС-054-102,Гастроентерологія,цироз печінки,Чернівецька,"ТОВ ""Лікарня ""Фарм ПланНет-Україна"", м. Чернівці","ТОВ ""Лікарня Фарм ПланНет- Україна""","Actelion Pharmaceuticals Ltd., Switzerland",1,Знято з розгляду,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
38518168ARA2001,Ревматологія,Ревматоїдний артрит.,Вінницька | Дніпропетровська | Донецька | Донецька | Київська | Крим | Харківська,"""ОКЛ ім. М.І. Пирогова"", м. Вінниця | ""ОКЛ імені І.І. Мечнікова"", м. Дніпро | КЗ ""Центральна МКЛ №1"", м. Донецьк | ННЛК ""Університетська клініка"" НМУ імені М. Горького, м. Донецьк | ДЗ ""ННЦ ""Інститут кардіології імені акад. М.Д. Стражеско НАМН України"", м. Київ | КРУ ""Клінічна лікарня імені М.О. Семашка"", м. Сімферополь | КЗ ""МКЛ №8"", м. Харків",АйЕйчСіСі Інтернешнл Хелскеар Консалтінг АГ,Джонсон & Джонсон Фармасьютікал Рісерч & Дівелопмент,2,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
Eagle 08-003,Гастроентерологія,Виразковий коліт від легкого до помірного ступеню активності,Дніпропетровська | Івано-Франківська | Київська | Київська | Київська | Київська | Крим | Львівська | Львівська | Одеська | Полтавська | Полтавська | Харківська | Харківська,"ДЗ ""Інститут гастроентерології НАМН України"", м. Дніпро | КЗ ""МКЛ"", м. Івано-Франківськ | Госпіталь ВМУ СБУ, м. Київ | ДЗ ""Республіканська клінічна лікарня МОЗ України"", м. Київ | КЗ ""МКЛ №18"", м. Київ | КЗ ""МКЛ №3"", м. Київ | КРУ ""Клінічна лікарня імені М.О. Семашка"", м. Сімферополь | КЗ ""МКЛ №5"", м. Львів | КЗ ""МКЛ швидкої допомоги"", м. Львів | КЗ ""ОКЛ"", м. Одеса | КЗ ""МКЛ №1"", м. Полтава | КЗ ""ОКЛ"", м. Полтава | ДЗ ""Національний інститут терапії імені Л.Т. Малої НАМН України"", м. Харків | КЗ ""МКЛ №2"", м. Харків","ТОВ ""Ю Сі Ті - Глобал""","Ігл Фармасьютікалс, Інк США",3,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
TS-P04834,Онкологія,"Нудота та блювання, зумовлених проведенням хіміотерапії у пацієнтів, що отримують середньоеметогенну хіміотерапію.",Дніпропетровська | Дніпропетровська | Донецька | Закарпатська | Київська | Львівська | Харківська,"""Міська багатопрофільна лікарня №4"", м. Дніпро | КЗ ""Клінічний онкологічний диспансер"", м. Дніпро | ККЗ ""Донецький обласний протипухлинний центр"", м. Донецьк | Ужгородська центральна МКЛ, м. Ужгород | Київський міський клінічний онкологічний центр, м. Київ | КЗ ""Обласний онкологічний центр"", м. Львів | КЗ ""Обласний клінічний онкологічний центр"", м. Харків","ТОВ ""МБ Квест""","Тезаро, Інк., США",3,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
KRМ-306,Нефрологія,Хронічна ниркова недостатність,Вінницька | Дніпропетровська | Донецька | Житомирська | Закарпатська | Закарпатська | Київська | Київська | Одеська | Харківська | Чернівецька,"Обласний спеціалізований клінічний диспансер радіаційного захисту населення, м. Вінниця | ""ОКЛ імені І.І. Мечнікова"", м. Дніпро | КЗ ""Центральна МКЛ №1"", м. Донецьк | КЗ ""ОКЛ імені О.Ф. Гербачевського"", м. Житомир | Закарпатська ОКЛ імені Андрія Новака, м. Ужгород | Ужгородська центральна МКЛ, м. Ужгород | ДЗ ""Інститут нефрології НАМН України"", м. Київ | УНПЦ екстреної медичної допомоги та медицини катастроф, м. Київ | КЗ ""МКЛ №10"", м. Одеса | КЗ ""МКЛ швидкої та невідкладної медичної допомоги імені О.І. Мещанінова"", м. Харків | КЗ ""ОКЛ"", м. Чернівці",-,Mitsubishi Tanabe Pharma Corporation,3,Завершено КВ в Україні,будь-яка,Дорослі (18-65 років)
NBI-56418-0703,"Акушерство, Гінекологія",Ендометріоз,Вінницька | Київська | Київська | Київська,"""ОКЛ ім. М.І. Пирогова"", м. Вінниця | ДЗ ""Інститут педіатрії акушерства і гінекології АМН України"", м. Київ | КЗ ""МКЛ №18"", м. Київ | Міський пологовий будинок №4, м. Київ",Акцельсіорз Лтд.,,2,Завершено КВ в Україні,жіноча,Дорослі (18-65 років)
P05691,Психіатрія,Біполярний розлад І типу,Вінницька | Дніпропетровська | Київська | Київська | Київська | Львівська,"КЗ ""Обласна психоневрологічна лікарня імені акад О.І.Ющенко"", м. Вінниця | ""ОКЛ імені І.І. Мечнікова"", м. Дніпро | КЗ КОР ""Обласне психіатрично-наркологічне медичне об’єднання"", Київська область, смт. Глеваха, м. Київ | Психоневрологічна МКЛ №2, м. Київ | Територіальне медичне об’єднання ""Психіатрія"" у м.Києві, м. Київ | КЗ ""Обласна клінічна психіатрична лікарня"", м. Львів","ПІІ ""Квінтайлс Україна""","Merck & Co., Inc",3,Завершено КВ в Україні,жіноча,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
FpS-AS-201,"Пульмонологія, Фтізіатрія",Персистуюча астма,Вінницька | Дніпропетровська | Дніпропетровська | Дніпропетровська | Донецька | Запорізька | Київська | Київська | Київська | Крим | Крим | Крим | Одеська | Тернопільська | Харківська | Харківська | Чернівецька,"""МКЛ №1"", м. Вінниця | КЗ ""МКЛ №6"", м. Дніпро | КЗ ""МКЛ №6"", м. Дніпро | КЗ ""МКЛ №6"", м. Дніпро | КЗ ""Донецьке обласне клінічне териториільне медичне об`єднання, м. Донецьк | КЗ ""ОКЛ"" ЗОР, м. Запоріжжя | ДЗ ""Інститут педіатрії акушерства і гінекології АМН України"", м. Київ | ДЗ ""Інститут фтизіатрії і пульмонології імені Ф.Г. Яновського АМН України"", м. Київ | КЗ ""ОКЛ"", м. Київ | ДЗ ""Відділкова клінічна лікарня ст. Сімферополь ДП ""Придніпровська залізниця"", м. Сімферополь | КРУ ""НДІФМЛМК імені І.М. Сєченова"", м. Ялта | КРУ ""НДІФМЛМК імені І.М. Сєченова"", м. Ялта | КЗ ""ОКЛ"", м. Одеса | КЗ ""Університетська лікарня"", м. Тернопіль | КЗ ""МКЛ №13"", м. Харків | КЗ ""МКЛ №27"", м. Харків | КЗ ""Дитяча МКЛ"", м. Чернівці","ТОВ ""КДО ІнноФарм-Україна""","Teva Pharmaceutical Industries Ltd., Ізраїль",2,Завершено КВ в Україні,будь-яка,"Малолітні (12-14 років), Неповнолітні (14-18 років), Дорослі (18-65 років), Літнього віку (старші 65 років), Молодші 18 років"
13267А,Психіатрія,Великий депресивний розлад,Вінницька | Дніпропетровська | Донецька | Київська | Київська | Київська | Крим | Полтавська | Тернопільська | Харківська | Харківська | Херсонська,"КЗ ""Обласна психоневрологічна лікарня імені акад О.І.Ющенко"", м. Вінниця | КЗ ""Клінічна психіатрична лікарня"", м. Дніпро | КЗ ""Обласна клінічна психіатрична лікарня"", м. Донецьк | КЗ КОР ""Обласне психіатрично-наркологічне медичне об’єднання"", Київська область, смт. Глеваха, м. Київ | Психоневрологічна МКЛ №2, м. Київ | Територіальне медичне об’єднання ""Психіатрія"" у м.Києві, м. Київ | КРУ ""Клінічна психіатрична лікарня №1"", м. Сімферополь | КЗ ""Обласна клінічна психіатрична лікарня"", м. Полтава | КЗ ""Обласна клінічна психоневрологічна лікарня"", м. Тернопіль | ДЗ ""Інститут неврології, психіатрії і наркології НАМН України"", м. Харків | КЗ ""Обласна клінічна психіатрична лікарня №3"", м. Харків | КЗ ""Обласна психіатрична лікарня"", м. Херсон","ПІІ ""Квінтайлс Україна""","H. Lundbeck A/S (Х. Лундбек А/С), Данія",3,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
МЕМ-MD-69,Психіатрія,"Аутизм, синдром Аспергера або первазивний розлад розвитку без додаткових уточнень",Донецька | Івано-Франківська | Київська | Одеська | Харківська | Херсонська,"КЗ ""Обласна клінічна психіатрична лікарня"", м. Донецьк | КЗ ""Обласна психоневрологічна лікарня №3"", м. Івано-Франківськ | УНДІССПН МОЗ України, м. Київ | КЗ ""Обласний медичний центр психічного здоров'я"", м. Одеса | ДЗ ""Інститут охорони здоровя дітей та підлітків НАМН України"", м. Харків | КЗ ""Обласна психіатрична лікарня"", м. Херсон","ПІІ ""Квінтайлс Україна""","Forest Laboratories, Allergan affiliate",2,Завершено КВ в Україні,будь-яка,"Діти (2 роки - 11 років), Малолітні (12-14 років)"
